vehicletype,vehiclemodel,vehicleprimaryuse,vehicleregistrationnumber,label
0,63,9,2,28
0,87,9,1,37
2,113,9,2,8
0,63,9,8,28
0,63,9,8,28
0,94,9,1,35
0,63,9,2,28
0,94,9,1,35
2,113,9,4,8
0,63,9,6,28
0,63,9,6,28
2,113,9,2,8
0,63,9,4,28
0,94,9,1,35
2,113,9,2,8
0,63,9,22,28
0,63,9,6,28
0,94,9,1,35
0,63,9,12,28
0,94,9,1,35
0,63,9,18,28
0,63,9,12,28
0,63,9,18,28
0,63,9,20,28
0,63,9,2,28
2,113,9,2,8
0,63,9,2,28
0,94,9,1,35
0,63,9,25,28
0,63,2,2,28
0,63,9,10,28
0,63,9,2,28
0,45,9,2,33
0,93,12,1,13
0,63,9,2,28
0,63,2,2,28
0,63,9,22,28
2,113,9,2,8
0,63,9,42,28
2,113,9,2,8
0,93,12,1,13
0,63,9,12,28
0,63,9,8,28
0,94,9,1,35
2,113,9,2,8
0,24,9,2,10
0,94,9,1,35
0,63,2,6,28
0,63,9,18,28
0,63,2,2,28
0,63,9,20,28
0,63,2,10,28
0,63,9,8,28
0,63,2,8,28
0,63,9,20,28
0,63,9,4,28
0,87,9,1,37
0,63,9,4,28
0,94,9,8,35
0,63,9,26,28
0,94,9,1,35
2,113,9,2,8
0,93,12,2,13
0,63,9,22,28
0,94,9,2,35
0,63,9,14,28
0,63,9,2,28
0,63,2,2,28
0,63,9,24,28
0,63,9,18,28
0,94,9,1,35
2,113,9,2,8
0,63,2,6,28
0,63,9,36,28
2,113,9,4,8
0,63,9,8,28
0,63,9,24,28
0,63,9,10,28
0,94,9,1,35
0,63,9,46,28
0,63,9,16,28
0,94,9,2,35
0,63,9,2,28
0,63,9,40,28
0,94,9,2,35
0,63,9,38,28
0,94,9,1,35
0,63,9,40,28
0,63,1,2,28
0,63,9,18,28
0,63,9,2,28
0,94,9,1,35
2,113,9,2,8
0,63,9,74,28
2,113,9,2,8
0,63,9,31,28
0,63,9,18,28
0,94,9,1,35
0,63,9,18,28
0,94,9,1,35
0,63,9,26,28
0,94,9,2,35
0,63,2,2,28
0,63,9,8,28
0,63,2,4,28
0,63,9,2,28
0,63,9,12,28
0,94,9,2,35
0,63,9,10,28
2,113,9,2,8
0,93,12,1,13
0,63,9,8,28
0,63,9,6,28
0,94,9,1,35
0,63,9,13,28
0,63,9,4,28
0,94,9,1,35
0,63,2,4,28
0,63,2,4,28
0,63,9,12,28
0,63,2,4,28
0,63,9,10,28
0,63,2,18,28
0,63,9,24,28
0,63,2,2,28
0,63,9,2,28
0,94,9,1,35
0,63,2,8,28
0,63,9,10,28
0,94,9,1,35
0,63,9,20,28
0,63,2,4,28
0,63,9,18,28
0,93,12,1,13
0,63,9,12,28
0,63,9,16,28
0,95,12,1,8
0,63,9,26,28
0,95,12,1,8
0,63,9,8,28
0,63,2,2,28
0,63,9,14,28
0,63,2,2,28
0,63,9,4,28
0,93,12,2,13
0,63,2,6,28
0,63,9,18,28
2,113,9,2,8
0,63,2,1,28
0,63,9,4,28
0,94,9,5,35
0,63,9,12,28
0,63,9,10,28
0,63,9,2,28
2,113,9,2,8
0,63,2,2,28
0,63,9,14,28
0,94,9,1,35
2,115,7,1,40
0,63,9,8,28
0,63,9,7,28
0,95,12,2,8
0,93,12,1,13
0,63,9,6,28
0,94,9,1,35
0,63,9,3,28
0,63,9,6,28
0,94,9,1,35
0,63,9,9,28
0,63,9,6,28
0,63,9,10,28
0,63,2,6,28
0,63,9,2,28
2,113,9,2,8
0,63,9,8,28
0,63,2,2,28
0,63,9,4,28
0,94,9,1,35
0,63,9,31,28
0,93,12,1,13
0,63,9,2,28
2,113,9,2,8
0,63,9,42,28
2,113,9,2,8
0,63,9,2,28
2,113,9,2,8
0,63,2,8,28
0,63,9,22,28
2,113,9,4,8
0,63,9,8,28
2,113,9,2,8
0,63,9,2,28
0,63,2,4,28
0,63,9,12,28
2,113,9,6,8
0,95,12,1,8
0,63,2,4,28
0,63,9,16,28
0,63,2,4,28
0,63,9,8,28
0,63,2,4,28
0,63,9,20,28
0,94,9,2,35
2,113,9,4,8
0,63,9,2,28
0,63,9,22,28
2,113,9,8,8
0,63,9,20,28
0,63,9,12,28
0,87,9,1,37
2,113,9,2,8
0,63,9,6,28
2,113,9,2,8
0,63,9,4,28
2,113,9,6,8
0,63,9,10,28
2,113,9,2,8
0,63,9,2,28
2,113,9,4,8
0,110,1,2,3
0,63,9,12,28
2,113,9,2,8
0,63,9,2,28
2,113,9,4,8
0,63,2,8,28
2,113,9,4,8
0,63,9,11,28
2,113,9,4,8
0,63,9,2,28
2,113,9,4,8
0,63,9,4,28
0,63,9,4,28
2,113,9,6,8
0,63,9,8,28
0,94,9,1,35
0,63,9,24,28
2,113,9,10,8
2,113,9,2,8
0,63,2,2,28
0,63,9,2,28
2,113,9,4,8
2,115,9,1,40
0,63,9,9,28
0,94,9,8,35
2,113,9,2,8
0,93,12,1,13
2,113,9,4,8
2,113,9,8,8
0,63,9,10,28
2,113,9,6,8
0,63,9,10,28
2,113,9,2,8
0,63,9,6,28
2,115,9,1,40
0,63,2,2,28
0,63,9,22,28
0,63,9,4,28
0,94,9,1,35
2,113,9,2,8
0,63,9,3,28
2,113,9,4,8
0,63,9,4,28
2,113,9,4,8
0,63,9,4,28
0,63,2,10,28
0,63,9,2,28
0,95,12,1,8
0,63,9,6,28
0,94,9,1,35
2,113,9,6,8
0,63,9,2,28
2,113,9,2,8
0,63,9,3,28
0,94,9,1,35
0,94,9,2,35
2,113,9,2,8
0,63,9,6,28
0,63,2,4,28
0,63,9,5,28
2,113,9,8,8
0,93,12,1,13
0,63,2,8,28
0,94,9,1,35
0,63,9,12,28
2,113,9,6,8
0,63,9,4,28
2,113,9,2,8
0,63,9,2,28
2,113,9,4,8
2,113,9,12,8
0,63,9,2,28
2,113,9,2,8
0,63,9,5,28
0,94,9,2,35
2,113,9,2,8
2,113,9,4,8
0,63,2,10,28
0,63,9,12,28
0,63,9,11,28
2,113,9,2,8
2,113,9,2,8
0,63,9,10,28
2,113,9,9,8
0,63,2,2,28
0,63,9,7,28
2,113,9,2,8
0,127,9,2,27
0,63,9,15,28
2,113,9,8,8
0,94,9,1,35
2,113,9,2,8
0,63,9,6,28
0,63,9,4,28
2,113,9,2,8
0,63,9,6,28
0,94,9,1,35
2,113,9,8,8
0,63,9,10,28
2,113,9,8,8
0,63,9,9,28
0,94,9,4,35
2,113,9,3,8
0,63,9,12,28
2,113,9,2,8
2,113,9,8,8
0,63,9,16,28
0,94,9,1,35
2,113,9,4,8
0,63,9,3,28
0,63,9,2,28
2,113,9,2,8
0,127,9,2,27
0,63,9,1,28
2,113,9,4,8
0,63,9,8,28
2,113,9,8,8
0,63,9,10,28
0,127,9,2,27
0,63,9,8,28
2,113,9,2,8
2,115,9,1,40
0,127,9,2,27
0,63,9,8,28
0,94,9,3,35
2,113,9,4,8
2,60,9,2,12
0,63,9,8,28
0,63,9,1,28
2,113,9,2,8
0,63,9,2,28
0,94,9,1,35
2,113,9,2,8
2,113,9,1,8
0,93,12,1,13
0,63,9,3,28
0,94,9,2,35
0,127,9,4,27
0,63,9,5,28
2,113,9,2,8
0,127,9,4,27
0,63,9,4,28
0,94,9,1,35
2,113,9,8,8
0,63,9,2,28
0,127,9,2,27
0,63,9,2,28
2,113,9,2,8
0,127,9,1,27
0,63,9,1,28
0,63,2,2,28
0,63,9,4,28
0,94,9,2,35
2,113,9,2,8
0,63,9,2,28
0,63,9,2,28
2,113,9,2,8
0,127,9,2,27
0,63,9,4,28
2,113,2,2,8
2,113,9,2,8
0,63,9,1,28
0,94,9,1,35
2,113,9,2,8
0,63,9,10,28
2,113,9,4,8
0,63,9,4,28
2,60,9,2,12
0,63,9,2,28
2,113,9,4,8
0,63,9,11,28
2,113,9,1,8
0,63,9,4,28
0,63,9,2,28
0,63,9,3,28
2,113,9,2,8
0,63,9,2,28
0,94,9,1,35
2,113,9,1,8
0,63,9,1,28
2,113,9,2,8
0,63,9,1,28
0,94,9,1,35
2,60,9,2,12
0,63,9,2,28
2,113,9,2,8
0,63,9,4,28
0,94,9,1,35
2,113,9,2,8
0,63,9,1,28
0,94,9,1,35
2,113,9,2,8
0,63,9,5,28
2,113,9,2,8
0,63,9,5,28
2,113,9,9,8
2,60,9,4,12
0,127,9,2,27
0,63,9,2,28
0,94,9,1,35
2,113,9,5,8
2,60,9,2,12
0,63,9,4,28
0,63,9,4,28
2,113,9,4,8
0,93,12,1,13
0,127,9,4,27
0,63,9,6,28
0,94,9,1,35
0,63,9,9,28
2,113,9,4,8
0,63,9,7,28
2,113,9,2,8
2,79,9,2,37
0,63,9,1,28
0,63,9,8,28
2,113,9,8,8
0,63,9,4,28
0,94,9,1,35
2,79,9,2,37
0,63,9,3,28
2,79,9,4,37
0,63,9,3,28
0,94,9,1,35
0,63,9,5,28
0,94,9,1,35
2,113,9,6,8
0,127,9,2,27
0,63,9,1,28
2,113,9,4,8
2,79,9,8,37
0,63,9,13,28
2,113,9,3,8
2,79,9,4,37
0,127,9,4,27
2,113,9,6,8
2,79,9,4,37
0,63,9,4,28
2,113,9,12,8
2,79,9,10,37
0,127,9,2,27
0,63,9,11,28
2,113,9,6,8
2,79,9,2,37
0,63,9,1,28
0,94,9,1,35
2,113,9,2,8
0,63,9,3,28
0,87,9,1,37
2,113,9,2,8
0,63,9,2,28
2,113,9,4,8
2,79,9,6,37
0,63,9,1,28
2,113,9,2,8
2,79,9,4,37
0,63,9,4,28
2,113,9,2,8
2,79,9,2,37
2,115,9,1,40
0,63,9,4,28
2,113,9,8,8
2,60,9,2,12
2,79,9,8,37
0,93,12,1,13
0,63,9,5,28
0,127,9,2,27
0,63,9,6,28
2,113,9,2,8
2,79,9,4,37
0,127,9,2,27
0,63,9,6,28
0,94,9,1,35
2,113,9,10,8
2,79,9,8,37
0,63,9,4,28
2,113,9,14,8
2,60,9,4,12
2,79,9,4,37
0,94,9,3,35
2,113,9,6,8
2,79,9,4,37
0,63,9,1,28
0,63,9,9,28
2,113,9,4,8
0,63,9,6,28
0,94,9,1,35
2,113,9,9,8
2,79,9,2,37
0,63,9,9,28
2,113,9,4,8
2,79,9,8,37
0,63,9,8,28
2,113,9,8,8
2,79,9,2,37
0,63,9,1,28
2,113,9,2,8
0,63,9,3,28
2,113,9,2,8
0,63,9,12,28
2,79,9,2,37
0,127,9,2,27
0,63,9,9,28
2,60,9,2,12
2,79,9,2,37
0,63,9,7,28
2,113,9,5,8
0,63,9,5,28
2,113,9,8,8
2,79,9,6,37
0,63,9,6,28
2,113,9,7,8
2,79,9,2,37
0,63,9,1,28
0,63,9,15,28
0,94,9,1,35
0,63,9,5,28
0,94,9,1,35
2,113,9,6,8
2,79,9,2,37
2,115,9,1,40
0,63,9,8,28
2,113,9,4,8
2,79,9,6,37
0,63,9,11,28
0,94,9,1,35
2,113,9,10,8
2,79,9,6,37
0,93,1,1,13
0,63,9,5,28
2,113,9,6,8
2,79,9,4,37
0,63,9,3,28
0,63,9,10,28
0,94,9,1,35
2,113,9,1,8
2,79,9,4,37
0,93,12,2,13
0,63,9,7,28
0,94,9,3,35
2,113,9,2,8
2,79,9,4,37
0,63,9,3,28
2,113,9,7,8
0,127,9,2,27
0,63,9,3,28
0,94,9,2,35
2,113,9,2,8
2,79,9,4,37
0,63,9,4,28
2,113,9,3,8
0,63,9,1,28
0,63,9,9,28
0,94,9,2,35
2,79,9,6,37
0,63,9,11,28
0,94,9,1,35
2,113,9,4,8
2,60,9,2,12
2,79,9,2,37
0,63,9,8,28
2,113,9,1,8
2,79,9,6,37
0,127,9,2,27
0,63,9,6,28
2,113,9,2,8
0,63,9,8,28
2,113,9,8,8
2,79,9,12,37
0,63,2,2,28
0,63,9,9,28
2,113,9,2,8
0,63,9,3,28
2,79,9,2,37
0,63,9,11,28
2,113,9,8,8
2,79,9,4,37
0,63,9,9,28
2,113,9,8,8
2,79,9,4,37
0,63,9,5,28
2,113,9,4,8
2,79,9,4,37
0,63,9,1,28
0,127,9,2,27
0,63,9,9,28
0,94,9,1,35
2,113,9,3,8
0,63,2,4,28
0,63,9,14,28
2,113,9,4,8
2,79,9,4,37
0,127,9,2,27
0,63,1,1,28
0,63,9,13,28
2,113,9,6,8
2,79,9,10,37
0,63,9,11,28
2,113,9,4,8
2,79,9,4,37
0,63,9,16,28
2,113,9,8,8
0,63,9,28,28
2,113,9,7,8
2,60,9,2,12
0,93,12,1,13
0,63,9,17,28
0,94,9,1,35
2,113,9,2,8
2,79,9,2,37
0,63,9,9,28
2,60,9,4,12
2,79,9,2,37
0,63,9,10,28
0,63,9,15,28
0,94,9,1,35
2,113,9,2,8
2,79,9,4,37
0,63,2,8,28
0,63,9,9,28
0,94,9,2,35
2,113,9,4,8
2,79,9,4,37
0,63,9,19,28
2,113,9,3,8
2,79,9,2,37
0,93,12,1,13
0,63,9,16,28
2,113,9,2,8
2,79,9,2,37
0,63,9,5,28
2,113,9,6,8
0,63,9,15,28
2,113,9,10,8
0,63,9,22,28
2,113,9,2,8
2,79,9,6,37
0,63,9,10,28
2,113,9,8,8
2,79,9,2,37
0,63,9,9,28
0,94,9,1,35
2,113,9,4,8
2,60,9,2,12
2,79,9,2,37
0,63,9,5,28
2,113,9,2,8
0,63,9,1,28
0,63,9,10,28
2,113,9,4,8
0,63,9,20,28
0,94,9,1,35
2,113,9,4,8
0,63,9,10,28
2,113,9,14,8
2,79,9,6,37
0,63,2,2,28
0,63,9,12,28
2,113,9,8,8
2,79,9,2,37
0,63,9,14,28
2,113,9,2,8
2,79,9,6,37
2,113,9,1,8
0,63,9,11,28
0,94,9,2,35
2,79,9,2,37
0,110,12,2,3
0,63,5,1,28
0,63,9,12,28
0,45,9,1,33
0,63,9,7,28
0,94,9,1,35
2,113,9,9,8
2,79,9,6,37
0,127,9,2,27
0,63,9,13,28
2,113,9,2,8
2,79,9,2,37
0,63,9,16,28
2,79,9,2,37
0,63,9,1,28
0,63,9,11,28
0,87,9,1,37
2,113,9,2,8
0,24,9,1,10
0,63,9,14,28
2,113,9,6,8
2,79,9,2,37
0,93,12,1,13
0,63,2,2,28
0,63,9,7,28
2,113,9,4,8
0,63,9,5,28
2,113,9,24,8
2,79,9,4,37
0,63,9,2,28
0,63,9,5,28
0,63,9,8,28
0,94,9,1,35
2,113,9,4,8
2,79,9,6,37
0,127,9,2,27
0,63,9,14,28
2,79,9,4,37
0,63,9,11,28
2,113,9,4,8
2,79,9,2,37
0,63,9,9,28
2,113,9,4,8
0,63,9,3,28
0,63,9,13,28
2,113,9,6,8
2,79,9,3,37
0,127,9,2,27
0,63,2,2,28
0,63,9,10,28
0,94,9,1,35
2,113,2,6,8
2,79,9,2,37
0,127,9,2,27
0,63,9,9,28
0,94,9,1,35
2,113,9,10,8
0,63,9,8,28
2,113,9,5,8
0,63,9,1,28
0,26,9,2,36
2,113,9,6,8
2,115,7,2,40
0,63,9,7,28
0,94,9,1,35
0,63,9,5,28
2,113,9,2,8
2,79,9,2,37
0,127,9,2,27
0,63,9,15,28
0,94,9,1,35
2,113,9,10,8
2,79,9,4,37
0,63,9,9,28
0,94,9,1,35
2,113,9,2,8
2,60,9,2,12
2,79,9,2,37
0,63,9,2,28
2,113,9,2,8
0,63,9,1,28
0,127,9,2,27
0,63,9,18,28
2,79,9,2,37
0,93,12,1,13
0,63,9,5,28
2,113,9,4,8
0,127,9,4,27
0,63,9,7,28
2,113,9,4,8
2,79,9,2,37
0,63,9,4,28
0,94,9,1,35
2,113,9,5,8
0,63,9,4,28
2,113,9,10,8
2,60,9,2,12
0,127,9,2,27
0,63,9,16,28
2,113,9,3,8
0,44,9,2,13
0,63,9,9,28
0,94,9,1,35
2,113,9,4,8
2,79,9,6,37
0,63,9,20,28
2,113,9,3,8
2,79,9,7,37
0,93,12,1,13
0,44,9,2,13
0,63,2,2,28
0,63,9,3,28
2,113,9,19,8
2,79,9,4,37
0,63,9,12,28
0,94,9,1,35
2,113,9,6,8
2,79,9,4,37
0,63,9,3,28
2,113,9,4,8
0,63,9,12,28
2,113,9,2,8
2,79,9,2,37
0,63,9,3,28
0,95,12,1,8
0,63,9,14,28
2,113,9,2,8
2,79,9,4,37
2,113,5,1,8
2,113,9,8,8
2,79,9,4,37
0,63,9,9,28
2,113,9,8,8
0,63,9,7,28
2,113,9,5,8
2,79,9,2,37
0,110,1,1,3
0,63,9,11,28
2,113,9,8,8
2,79,9,2,37
0,63,9,13,28
2,113,9,3,8
2,79,9,2,37
0,63,9,10,28
0,94,9,2,35
2,113,9,6,8
0,63,9,4,28
2,113,9,5,8
2,79,9,12,37
0,63,9,1,28
0,63,9,11,28
2,113,9,3,8
2,79,9,2,37
0,93,12,1,13
0,63,9,9,28
2,113,9,4,8
0,63,9,11,28
2,113,9,6,8
2,79,9,6,37
0,63,9,6,28
0,45,9,1,33
2,113,9,16,8
0,63,9,8,28
2,113,9,3,8
0,63,9,10,28
0,94,9,2,35
2,113,9,6,8
0,63,9,15,28
0,94,9,2,35
0,26,9,1,36
2,79,9,2,37
0,63,9,14,28
2,113,9,10,8
2,79,9,4,37
0,63,9,4,28
0,94,9,1,35
0,67,9,2,35
2,113,9,15,8
0,63,9,1,28
0,63,9,10,28
0,94,9,2,35
2,113,9,5,8
0,63,9,10,28
2,113,9,23,8
2,79,9,8,37
0,63,9,5,28
2,113,9,7,8
2,79,9,4,37
0,95,12,1,8
0,63,9,16,28
2,113,9,5,8
2,79,9,2,37
0,63,9,4,28
2,113,9,8,8
2,115,7,1,40
0,63,9,1,28
2,113,9,1,8
0,63,9,9,28
2,113,9,10,8
2,79,9,4,37
0,63,9,21,28
2,113,9,10,8
0,63,9,7,28
2,113,9,11,8
2,79,9,6,37
0,63,9,11,28
0,94,9,1,35
2,113,9,5,8
2,79,9,4,37
0,63,9,13,28
2,113,9,7,8
2,79,9,4,37
0,63,9,2,28
0,63,9,5,28
2,113,1,2,8
2,113,9,25,8
2,79,9,2,37
0,63,9,8,28
0,87,9,1,37
2,113,9,11,8
0,95,12,1,8
0,63,9,8,28
2,113,9,6,8
2,79,9,6,37
0,127,9,2,27
0,63,9,14,28
2,113,9,11,8
2,79,9,7,37
0,63,9,5,28
2,113,9,16,8
2,79,9,1,37
0,63,9,2,28
0,94,9,1,35
0,63,9,12,28
2,113,9,3,8
2,79,9,1,37
0,127,9,1,27
0,63,9,17,28
2,113,9,12,8
2,79,9,2,37
0,95,12,1,8
0,44,9,2,13
0,63,9,2,28
2,113,9,3,8
2,79,9,6,37
0,63,9,6,28
2,113,9,11,8
2,79,9,2,37
0,63,9,15,28
2,113,9,10,8
2,79,9,6,37
2,113,9,2,8
0,127,9,2,27
0,63,9,16,28
2,113,9,19,8
0,63,9,20,28
0,67,9,6,35
2,113,9,2,8
2,79,9,1,37
0,63,9,2,28
2,113,9,6,8
2,79,9,4,37
0,63,9,41,28
0,94,9,1,35
2,113,9,2,8
2,79,9,4,37
0,63,9,3,28
2,113,9,8,8
2,79,9,2,37
0,63,9,5,28
0,63,9,19,28
2,113,9,1,8
2,79,9,2,37
0,93,12,1,13
0,63,9,42,28
2,113,9,17,8
2,79,9,8,37
0,63,9,4,28
2,113,9,9,8
2,79,9,4,37
0,63,9,5,28
2,113,9,5,8
2,79,9,6,37
0,63,9,11,28
2,113,9,16,8
2,79,9,8,37
0,127,9,2,27
0,63,9,2,28
2,113,9,2,8
0,63,9,2,28
2,113,9,2,8
2,79,9,2,37
0,93,12,1,13
0,63,9,9,28
2,113,9,19,8
0,44,9,2,13
0,63,9,15,28
0,67,9,10,35
2,113,9,10,8
2,79,9,2,37
0,44,9,4,13
0,63,9,36,28
2,113,9,13,8
0,44,9,2,13
0,63,9,13,28
2,113,9,7,8
2,79,9,2,37
0,63,9,1,28
0,94,9,1,35
0,44,9,2,13
0,63,9,3,28
2,113,9,8,8
2,79,9,1,37
0,63,9,7,28
2,113,9,20,8
0,127,9,2,27
0,63,9,36,28
2,113,9,11,8
2,79,9,4,37
0,63,9,13,28
2,113,9,15,8
2,79,9,4,37
0,63,9,25,28
0,94,9,2,35
0,67,9,2,35
2,113,9,6,8
2,79,9,4,37
0,63,9,2,28
0,94,9,1,35
2,113,9,2,8
0,63,9,5,28
0,94,9,1,35
2,113,9,7,8
2,79,9,2,37
0,127,9,1,27
0,63,9,36,28
2,113,9,13,8
2,20,9,6,13
0,63,9,4,28
0,94,9,1,35
2,113,9,13,8
2,79,9,2,37
0,63,9,52,28
2,113,9,5,8
2,79,9,2,37
0,63,9,9,28
0,94,9,1,35
2,113,9,5,8
2,20,1,2,13
2,79,9,6,37
0,63,9,1,28
2,113,9,2,8
0,63,9,25,28
0,67,9,2,35
2,113,9,16,8
2,79,9,2,37
0,63,9,61,28
0,94,9,1,35
2,113,9,21,8
2,79,9,4,37
0,63,9,16,28
2,113,9,2,8
2,20,9,2,13
2,79,9,4,37
0,63,9,8,28
2,113,9,8,8
2,79,9,6,37
0,63,9,19,28
2,113,2,2,8
2,113,9,7,8
2,20,9,2,13
2,79,9,2,37
0,63,9,7,28
0,94,9,1,35
2,113,9,6,8
2,20,9,4,13
2,79,9,4,37
0,63,9,13,28
0,67,9,8,35
2,113,9,7,8
2,60,9,2,12
2,79,9,6,37
0,63,9,1,28
0,95,12,1,8
0,63,9,13,28
2,113,9,8,8
2,79,9,4,37
0,63,9,24,28
2,113,9,9,8
2,20,9,14,13
2,79,9,4,37
0,44,9,2,13
0,63,9,26,28
0,67,9,2,35
2,113,9,8,8
0,63,9,13,28
2,113,9,5,8
2,20,9,2,13
2,79,9,4,37
2,115,9,1,40
0,63,9,16,28
0,67,9,12,35
2,113,9,15,8
2,20,9,10,13
0,44,9,4,13
0,63,9,6,28
2,113,9,4,8
2,20,9,6,13
2,79,9,8,37
0,63,9,36,28
0,67,9,10,35
2,113,9,7,8
2,20,9,2,13
2,79,9,2,37
0,63,9,4,28
0,94,9,1,35
2,113,9,4,8
2,20,9,2,13
2,79,9,2,37
0,93,12,1,13
0,63,9,1,28
0,67,9,2,35
2,113,9,12,8
2,20,9,2,13
0,63,9,34,28
2,20,9,2,13
2,79,9,6,37
2,113,9,1,8
0,44,9,2,13
0,127,9,3,27
0,63,9,5,28
2,113,9,9,8
2,20,9,4,13
2,79,9,4,37
0,63,9,17,28
0,67,9,12,35
2,113,9,2,8
2,20,9,2,13
0,44,9,2,13
0,63,9,26,28
2,113,9,8,8
2,20,9,2,13
0,44,9,2,13
0,63,9,7,28
2,113,9,8,8
2,20,9,4,13
0,63,9,13,28
0,94,9,1,35
2,113,9,12,8
0,44,9,2,13
0,63,9,4,28
2,20,9,8,13
0,63,9,12,28
2,113,9,11,8
2,79,9,2,37
0,44,9,2,13
0,127,9,1,27
0,63,9,22,28
0,67,9,8,35
2,113,9,9,8
2,20,9,4,13
2,20,12,2,13
2,79,9,4,37
0,127,9,1,27
0,63,9,13,28
2,113,9,2,8
2,20,9,4,13
2,79,9,4,37
0,110,2,2,3
0,63,9,3,28
2,113,9,13,8
2,20,9,2,13
2,79,9,2,37
2,20,9,2,13
0,94,9,1,35
0,63,9,21,28
2,113,9,7,8
0,127,9,4,27
0,63,9,20,28
2,113,9,1,8
0,63,9,15,28
0,67,9,2,35
2,113,9,7,8
2,20,9,2,13
2,79,9,4,37
0,63,9,6,28
2,113,9,24,8
0,63,9,33,28
0,67,9,20,35
2,113,9,3,8
2,60,9,1,12
2,79,9,2,37
0,44,9,4,13
0,127,9,1,27
0,63,9,10,28
0,67,9,6,35
2,113,9,4,8
2,79,9,2,37
0,63,9,4,28
2,113,9,13,8
2,20,9,4,13
0,63,9,1,28
0,94,9,1,35
0,44,9,4,13
0,127,9,1,27
0,63,9,7,28
0,94,9,1,35
2,113,9,3,8
2,20,9,4,13
0,63,9,44,28
0,94,9,1,35
2,113,9,4,8
0,63,9,11,28
0,67,9,20,35
2,113,9,21,8
2,20,9,2,13
2,79,9,8,37
0,44,9,2,13
0,127,9,1,27
0,63,9,46,28
0,67,9,10,35
0,87,9,2,37
2,113,9,8,8
2,20,9,2,13
2,79,9,4,37
0,44,9,6,13
0,63,1,2,28
0,63,9,17,28
0,67,9,14,35
2,113,9,6,8
2,20,9,2,13
0,63,9,7,28
2,113,9,4,8
2,20,1,2,13
2,20,9,2,13
0,44,9,2,13
0,63,9,7,28
2,113,9,2,8
2,79,9,7,37
0,93,1,1,13
0,44,9,4,13
0,127,9,1,27
0,63,9,43,28
0,67,9,1,35
2,113,9,7,8
2,20,9,4,13
0,44,9,2,13
0,63,9,2,28
2,113,9,6,8
2,79,9,8,37
0,63,9,9,28
0,94,9,1,35
0,67,9,38,35
2,113,2,2,8
2,113,9,7,8
2,60,9,1,12
0,94,9,1,35
2,113,9,2,8
0,63,9,17,28
0,94,9,3,35
0,67,9,14,35
2,113,9,4,8
2,60,9,1,12
2,115,9,1,40
0,63,9,18,28
2,113,9,1,8
